,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
0,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
2,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
3,Fungal infection,itching, skin_rash, dischromic _patches,
4,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
5,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
6,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
7,Fungal infection,itching, skin_rash, dischromic _patches,
8,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
9,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
10,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
11,Allergy, shivering, chills, watering_from_eyes,
12,Allergy, continuous_sneezing, chills, watering_from_eyes,
13,Allergy, continuous_sneezing, shivering, watering_from_eyes,
14,Allergy, continuous_sneezing, shivering, chills,
15,Allergy, shivering, chills, watering_from_eyes,
16,Allergy, continuous_sneezing, chills, watering_from_eyes,
17,Allergy, continuous_sneezing, shivering, watering_from_eyes,
18,Allergy, continuous_sneezing, shivering, chills,
19,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
40,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
41,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
42,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
43,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
44,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
45,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
46,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
47,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
48,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
49,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
60,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
61,AIDS, patches_in_throat, high_fever, extra_marital_contacts,
